gender,age,job,monthly_income,assets,saving_months,saving_amount,deposit_amount,deposit_months
M,28,0,55,754,3,29,84,3
M,11,1,886,103756,12,162,2860,24
F,18,1,1256,139411,12,248,5364,24
M,83,1,2859,70501,24,514,5146,12
M,90,1,2753,38120,24,385,4294,12
F,13,0,173,614,24,29,698,24
F,27,1,2355,325767,24,1177,25433,24
M,34,1,1581,211064,12,679,8916,12
M,40,0,153,13171,3,55,642,12
F,54,1,881,129456,24,352,6766,24
M,45,0,390,13471,24,148,3275,24
F,68,0,314,26140,3,47,979,24
M,29,1,1942,148864,12,1068,21905,24
M,35,1,1704,102128,12,886,20447,24
M,51,0,44,4270,3,11,432,24
F,21,1,2502,94250,24,1351,14111,12
F,66,1,1700,58834,24,356,6936,24
M,30,0,100,1850,24,53,50,1
M,35,0,128,8366,3,60,65,1
F,16,0,33,367,24,3,3,1
M,96,1,1680,139489,12,184,6047,24
M,26,0,33,191,6,15,182,12
M,52,1,362,23872,24,119,1520,12
M,95,1,1100,8664,24,208,2111,12
F,75,1,490,52883,24,49,1528,24
F,41,1,1811,41785,24,543,13473,24
F,66,1,451,59057,12,49,1515,24
F,14,0,84,1796,6,11,259,24
F,27,0,56,487,1,31,658,24
M,97,0,471,32354,6,84,183,3
F,79,1,986,125329,12,157,4496,24
F,34,1,2791,196074,12,1535,34161,24
M,83,1,405,50381,24,52,874,12
F,14,0,24,77,1,4,4,1
M,44,1,2917,421558,24,933,13301,12
F,22,1,1072,61576,12,546,11834,24
M,65,1,2862,330166,12,515,3434,12
M,49,1,1740,66512,12,574,6890,12
F,81,1,1454,136498,24,218,7328,24
F,86,1,975,86931,12,107,2222,12
F,67,0,342,1933,3,64,348,6
F,28,0,99,2238,1,53,308,6
M,54,0,364,26656,3,131,1616,12
M,14,0,64,889,1,12,38,6
F,62,1,1754,235128,24,280,7156,24
F,48,0,469,22196,24,196,1013,6
M,69,0,467,32042,24,56,364,6
M,83,0,252,9691,3,40,604,12
M,31,0,167,12938,3,80,1042,12
F,26,0,157,1042,1,70,249,3
F,73,1,866,25726,24,138,3325,24
F,16,0,48,954,1,6,28,6
F,55,1,917,124312,12,320,3521,12
M,38,1,2384,150938,24,1096,29180,24
F,84,1,1742,54672,12,209,6271,24
M,56,1,1048,49949,12,366,4150,12
F,47,0,34,3267,24,9,73,6
F,27,1,1474,155565,24,825,8313,12
M,62,0,27,617,6,4,12,3
F,53,1,872,6527,24,313,7952,24
M,87,1,2682,276362,24,348,10298,24
F,69,0,338,5447,24,54,1216,24
F,86,0,228,4395,24,38,95,3
M,47,1,1747,7901,12,663,7756,12
F,20,0,198,1774,1,112,1116,12
F,63,1,1289,97636,24,206,1546,12
F,11,0,52,640,12,7,17,3
M,99,0,193,10554,3,21,98,3
F,84,1,496,50282,24,99,654,12
F,50,1,895,103110,24,340,7303,24
M,16,0,103,310,12,18,45,3
M,50,1,1053,37930,12,315,8339,24
M,34,0,64,1330,3,35,188,6
F,62,1,874,93321,12,139,3565,24
F,46,0,371,3291,6,115,756,6
M,63,1,2162,61483,12,324,7264,24
F,29,0,171,3804,1,87,512,6
M,75,1,2562,290723,24,409,14142,24
F,21,1,709,85587,12,368,4168,12
F,96,1,1119,89516,24,156,1477,12
M,71,1,1705,97764,12,272,3273,12
F,11,0,89,1257,6,17,11,1
M,14,1,2226,147058,24,251,10523,24
M,40,0,414,33811,3,140,3775,24
M,14,0,39,814,6,6,54,12
F,37,0,140,3318,24,69,1747,24
F,53,1,2027,118918,12,709,8513,12
F,87,1,1148,92303,24,183,1790,12
M,68,1,1364,141636,12,231,4583,24
F,97,1,1454,198187,24,232,3315,12
M,65,0,446,3695,12,53,642,12
F,89,1,2149,308046,24,257,3352,12
M,17,0,176,3599,24,29,104,3
M,83,1,2341,30966,12,444,8989,24
F,100,1,2043,103419,12,326,3432,12
M,99,1,1189,149348,24,249,1997,12
F,22,1,2812,121328,12,1462,18221,12
M,13,0,121,139,3,22,47,3
M,84,1,1547,116689,12,216,2598,12
M,24,1,1096,36739,12,558,6575,12
M,53,1,2329,327922,12,745,10061,12
F,55,0,284,9502,24,113,323,3
F,35,0,172,183,24,85,247,3
F,24,1,222,25741,12,115,2770,24
M,30,1,586,64692,12,298,7594,24
M,45,1,894,37808,12,357,7295,24
F,87,1,2096,183283,24,272,3521,12
M,37,0,54,159,12,26,90,3
F,98,1,529,44668,24,79,1079,12
F,51,1,624,7065,24,212,4642,24
F,10,1,1375,72406,12,152,3308,24
F,30,0,156,3253,1,73,229,3
F,81,1,2379,121882,12,309,7993,24
F,28,0,119,264,6,55,699,12
M,56,0,68,550,12,23,71,3
F,57,1,2646,167473,12,952,20956,24
M,66,1,1100,18827,12,186,1847,12
F,48,0,444,32940,6,168,1918,12
F,51,1,2515,173119,24,779,23540,24
M,82,1,2875,57499,12,402,7590,24
M,69,0,149,5200,24,19,268,12
F,81,1,1765,75834,24,405,6777,24
M,44,1,2581,274411,24,774,21680,24
F,78,1,2048,274718,12,245,3440,12
F,64,1,836,47315,24,150,4012,24
M,32,1,527,56449,24,305,6956,24
F,74,1,465,13860,24,51,1897,24
M,25,0,57,794,24,27,328,12
F,94,1,2997,295823,12,449,6473,12
F,32,0,173,3440,3,89,529,6
F,21,1,740,13069,24,377,9057,24
F,39,1,313,28808,12,165,3680,24
M,75,0,366,20975,6,73,175,3
F,34,0,44,4303,1,21,580,24
F,34,1,1856,250145,24,816,10467,12
F,54,1,2159,10126,24,777,20726,24
F,27,1,2031,37293,24,974,24859,24
F,32,1,2694,304760,12,1266,15194,12
F,20,0,197,2147,1,92,531,6
F,71,1,1062,138540,24,116,3823,24
M,49,1,2328,202228,24,814,18996,24
M,72,1,1777,100848,12,248,3198,12
F,80,1,1944,78317,12,252,5598,24
M,88,1,2888,157137,12,375,11089,24
M,94,1,2189,115321,12,394,5516,12
F,90,1,676,71007,12,101,1054,12
M,35,0,53,4772,12,26,77,3
F,38,0,185,10821,1,85,94,1
M,10,0,149,720,24,27,15,1
F,30,0,47,761,3,23,135,6
M,69,1,1035,57527,12,175,1862,12
M,17,1,1024,61944,12,169,2214,12
M,33,1,1848,149451,12,905,21288,24
M,61,1,578,64605,12,80,1109,12
F,17,0,83,220,12,10,14,1
M,82,1,2690,224836,12,430,10975,24
M,98,1,557,62115,24,116,1203,12
F,100,1,1691,18844,24,270,3449,12
F,41,1,1429,190367,24,442,6173,12
M,34,1,667,39381,24,326,7523,24
F,39,1,2183,180059,24,1091,22528,24
M,41,0,241,16231,1,93,954,12
M,30,0,145,14360,12,71,452,6
M,31,1,949,64977,12,436,6377,12
M,32,0,107,8759,6,54,1283,24
M,28,1,202,19046,24,103,1308,12
M,17,0,125,2301,12,23,383,24
M,73,0,381,2901,3,64,1463,24
M,75,0,444,2603,24,71,44,1
F,67,0,73,3156,1,15,10,1
M,25,0,89,1936,6,40,1046,24
F,29,1,2109,199730,12,1033,24801,24
F,30,0,57,4340,1,26,697,24
F,23,0,22,237,24,10,32,3
F,33,0,181,16210,3,86,575,6
M,72,1,2081,44173,24,457,6492,24
F,73,0,38,469,24,4,77,12
M,27,0,82,1733,1,43,255,6
M,54,1,340,45593,24,125,2529,24
F,56,0,97,2268,6,38,31,1
F,70,1,317,35182,12,53,608,12
F,79,1,2080,25364,12,374,6489,24
M,73,0,440,43403,1,65,1583,24
F,99,1,817,15895,12,155,3529,24
F,79,1,1385,18454,24,166,5650,24
F,98,1,727,23979,24,79,2268,24
F,16,0,182,2156,12,23,96,3
F,98,1,384,50117,24,57,460,12
F,91,1,2477,368485,12,346,10106,24
F,24,1,2181,117540,24,1221,13085,12
M,30,1,1629,210166,24,781,20329,24
F,30,1,1285,29513,12,603,7864,12
M,98,1,1032,30087,24,134,1238,12
M,77,0,402,23419,1,60,48,1
F,37,1,2270,180102,12,1134,27784,24
F,79,1,2837,334165,24,340,5447,12
M,75,1,277,11684,24,44,531,12
F,49,0,313,30964,6,128,356,3
M,73,1,2259,328281,12,361,9216,24
F,95,1,1858,204985,24,297,2675,12
F,36,1,2907,21396,24,1453,34883,24
F,12,0,63,1183,3,11,103,12
M,98,1,2606,212703,12,390,4065,12
F,83,0,27,2582,12,4,4,1
M,18,1,738,41584,24,113,2050,24
F,79,1,2613,302468,12,496,4076,12
F,42,1,2447,253317,24,954,21142,24
M,13,0,129,1910,6,23,19,1
F,10,0,82,1214,24,14,260,24
F,68,1,426,20521,12,68,766,12
M,29,0,181,3250,24,85,575,6
F,59,1,825,31755,24,346,7721,24
F,82,1,2952,215647,24,531,9918,24
F,30,1,2383,219206,24,1239,28024,24
F,50,0,326,13556,3,117,332,3
F,31,1,2500,75016,24,1324,14399,12
M,93,1,2499,90468,24,424,3298,12
M,79,1,2428,40975,24,437,3787,12
M,76,1,2743,232560,12,384,4279,12
M,66,1,1128,110997,24,214,3519,24
M,86,1,2437,52727,12,414,9358,24
M,55,1,2777,199526,24,971,11330,12
F,87,1,1710,10497,12,256,2052,12
F,96,1,841,19192,12,176,1816,12
M,82,1,2511,269730,12,401,4821,12
F,28,1,577,50662,12,259,3323,12
M,73,0,180,11819,12,32,19,1
M,68,1,2561,127710,12,281,11678,24
F,95,1,1835,119721,12,275,3963,12
F,39,1,2495,187873,12,1322,30538,24
M,78,1,1507,60150,12,226,3074,12
M,70,1,2108,48511,12,231,5059,12
F,54,1,522,32696,24,203,4384,24
M,28,1,2253,130048,12,1149,27576,24
F,38,1,358,29161,12,164,2062,12
F,54,0,86,279,3,31,180,6
M,47,0,281,2542,1,95,295,3
F,36,0,155,13933,12,86,227,3
M,49,0,161,5571,24,51,676,12
F,58,1,1505,60062,24,571,5959,12
M,94,1,2148,19235,24,300,10310,24
M,97,1,1752,72200,12,210,2943,12
M,64,1,1754,71782,24,192,3157,12
M,55,1,180,11611,24,61,842,12
M,21,0,180,3552,3,95,885,12
M,55,0,362,36182,1,133,1346,12
F,42,1,2866,290005,24,888,11693,12
F,85,1,2882,410474,12,461,11758,24
F,60,1,2046,257994,24,327,9329,24
M,48,1,1743,149969,24,540,16314,24
F,12,0,163,3584,3,27,24,1
M,74,1,2178,164955,12,392,3397,12
M,32,1,1611,40003,24,789,20491,24
F,54,1,554,37342,24,199,4387,24
F,76,1,2422,81425,24,411,3487,12
M,57,1,2899,340812,12,840,11827,12
F,48,1,2667,71470,12,986,25603,24
M,38,0,165,2176,6,80,524,6
M,58,0,388,9155,24,147,419,3
F,74,1,1234,180821,12,259,1925,12
F,68,1,2302,203562,24,253,5524,24
F,100,1,1437,209871,24,244,5173,24
F,51,1,2712,135953,12,1084,10739,12
M,15,1,1911,204658,12,207,3684,12
F,26,0,128,1429,12,60,1535,24
F,95,1,1000,137570,12,139,2159,12
M,60,1,941,131485,12,159,2935,24
M,77,1,1702,87078,24,204,3063,12
M,20,0,198,3368,12,100,302,3
F,28,1,344,49324,24,182,4293,24
F,28,0,83,1197,24,43,124,3
F,30,0,158,9860,12,83,1820,24
F,21,1,1785,68203,12,1017,21419,24
F,79,1,874,107107,24,131,3356,24
M,24,1,2126,195352,24,1041,13266,12
M,87,1,261,21344,12,44,501,12
M,44,0,67,2625,1,17,289,12
M,81,1,2374,42884,24,356,4273,12
F,70,1,2514,92616,24,377,10257,24
M,76,1,2013,264433,24,362,6280,24
F,39,0,76,7546,6,35,264,6
F,80,1,721,11607,12,100,1384,12
M,46,1,320,43047,24,121,1459,12
M,45,1,726,76695,12,246,6446,24
F,13,0,177,2191,6,27,173,6
M,54,1,2195,220596,12,680,10272,12
F,49,0,164,10778,3,54,172,3
F,75,1,1677,178841,24,218,3823,12
M,17,0,139,1729,6,22,614,24
M,39,0,200,3028,24,97,611,6
F,40,0,356,16922,3,135,373,3
F,41,0,389,15762,3,128,1540,12
M,31,0,49,2356,24,25,141,6
M,40,0,481,16130,3,177,476,3
M,88,1,1644,55882,12,295,6707,24
F,47,0,228,14315,1,91,1696,24
F,20,0,140,2764,6,71,445,6
F,91,1,998,92216,12,139,5029,24
M,26,0,176,1104,12,93,538,6
M,32,0,168,402,24,94,2096,24
M,77,1,610,54650,24,73,1317,12
F,46,1,1092,18600,24,371,9959,24
M,56,1,1699,89396,24,628,10601,24
M,22,0,160,1283,3,81,79,1
F,95,1,2196,216960,24,263,4216,12
F,12,0,47,372,12,6,96,12
F,74,1,535,61483,24,74,706,12
F,63,1,1853,64360,12,315,2890,12
F,33,1,2185,141273,24,1070,26219,24
M,26,1,1063,156222,12,574,5740,12
F,74,1,298,19909,24,38,429,12
F,36,0,200,6018,1,93,293,3
F,34,1,212,22794,24,103,1246,12
F,89,1,2782,189522,24,584,6009,12
M,41,0,350,23653,1,115,111,1
M,13,0,123,317,24,23,19,1
M,88,1,1327,50394,24,265,6369,24
M,65,1,2835,339686,24,595,3742,12
M,26,0,78,1191,12,42,124,3
M,54,1,2494,371594,12,897,20351,24
F,84,1,670,66014,12,127,1125,12
F,66,1,2786,355200,12,306,8023,24
M,93,1,2023,115023,12,242,9710,24
M,24,0,80,1225,24,40,1055,24
F,91,1,2941,46250,12,323,4235,12
M,17,0,191,683,6,35,454,12
M,59,0,30,892,12,12,115,12
M,57,1,2923,230058,12,1023,23150,24
M,98,1,2501,239063,12,325,3001,12
F,13,0,127,1009,24,17,129,6
M,89,1,2677,52758,12,321,9637,24
F,74,0,446,21988,1,93,454,6
M,95,0,63,4295,24,11,26,3
F,51,1,2398,158002,24,815,21869,24
F,57,0,110,10962,6,37,42,1
M,19,0,28,465,6,5,8,3
M,80,1,1159,101914,12,220,5563,24
M,99,1,2945,395153,24,382,5654,12
M,91,1,2551,184936,12,484,12857,24
M,19,0,78,1816,1,9,15,1
F,50,1,2960,343636,24,1065,12076,12
F,35,1,2630,69298,24,1420,17357,12
F,14,0,168,629,12,31,77,3
M,17,0,60,1230,12,8,7,1
M,46,1,2100,47195,12,776,9323,12
F,13,0,86,375,1,13,11,1
M,78,1,1042,38086,24,104,1875,12
F,79,1,1560,193872,24,202,5241,24
M,93,1,1718,190517,12,292,8658,24
F,45,1,2978,219210,12,1012,11792,12
F,34,0,131,336,1,78,385,6
F,31,1,392,25277,12,199,4327,24
M,51,0,221,14588,6,81,238,3
M,19,1,2953,292225,12,575,11567,24
M,30,0,120,2920,1,56,67,1
M,97,1,283,20521,24,42,679,12
M,48,1,688,102656,24,206,2641,12
F,15,1,1543,43834,12,172,3267,12
F,56,1,2336,299478,24,770,9811,12
F,41,0,371,34290,12,103,411,3
M,87,1,2004,183521,24,240,3847,12
M,92,1,1081,104672,12,162,2205,12
F,22,0,83,1589,6,39,537,12
M,29,1,631,28429,24,334,7571,24
F,16,1,554,12443,24,105,672,12
F,81,1,292,21807,24,40,490,12
M,15,0,116,632,1,16,148,12
M,42,0,337,16739,24,101,687,6
F,42,1,1344,47507,24,483,5160,12
M,63,1,939,23870,12,122,3380,24
M,17,0,81,1773,3,8,12,1
F,71,1,860,2848,24,137,2683,24
M,85,1,2614,48447,24,444,5018,12
F,83,0,185,4302,3,29,133,6
M,29,1,2780,114321,24,1389,30691,24
F,39,1,1337,166919,12,668,16364,24
F,68,1,279,18968,12,55,803,24
F,62,1,841,3835,24,109,1614,12
F,39,0,44,327,1,21,24,1
M,45,0,102,2022,3,37,440,12
F,41,1,2489,338536,24,871,11051,12
F,44,0,263,7937,24,89,86,1
M,82,1,1451,198918,12,232,2263,12
F,49,1,2266,223818,12,679,10604,12
F,72,1,2964,222092,24,326,6757,12
M,70,1,1125,28711,24,179,4319,24
F,57,1,1706,224563,24,580,14330,24
M,86,1,2731,375128,12,409,8520,24
M,17,0,198,691,3,38,31,1
M,48,1,1572,87519,24,613,6791,12
F,68,1,2997,285166,12,509,5394,12
F,46,1,1538,179805,24,538,13657,24
F,66,1,1408,90243,24,197,5068,24
F,77,0,495,3773,1,69,475,6
M,47,1,1544,6647,12,586,7411,12
F,80,1,2848,312398,24,341,4784,12
F,21,1,2510,154807,12,1229,14758,12
F,97,1,2380,245378,24,428,10281,24
F,58,1,493,11580,12,152,2011,12
M,44,1,841,101617,24,302,3834,12
M,89,1,2641,9609,12,369,9507,24
M,22,0,179,3808,12,84,1761,24
F,15,0,127,1756,1,17,22,1
M,87,1,813,100790,12,130,2341,24
F,37,0,30,2283,6,15,205,12
M,56,0,308,19697,1,110,628,6
F,74,1,2128,163249,12,404,4085,12
F,86,1,2787,204947,12,557,10033,24
F,35,1,2244,325898,12,1166,13733,12
F,58,1,1306,92238,12,470,5955,12
M,12,0,48,463,3,9,99,12
M,65,0,340,33612,1,40,265,6
M,87,1,518,50328,24,98,932,12
M,55,1,721,35593,24,281,5537,24
F,17,0,41,558,12,7,7,1
F,66,1,864,37809,24,155,1555,12
F,76,1,2054,247816,24,287,5422,24
F,13,0,79,921,3,15,65,6
F,71,1,1459,180195,12,233,3851,24
F,88,1,1251,93318,24,200,2702,12
M,71,0,314,26393,3,37,640,12
F,53,1,2798,351540,24,951,11415,12
F,26,0,163,2937,6,83,2112,24
M,95,1,1885,234777,12,245,2940,12
M,66,1,1134,11759,24,215,4082,24
M,89,1,2820,317917,24,394,12182,24
F,71,1,2963,246019,24,503,9244,24
F,76,1,2288,212336,24,411,4118,12
F,22,0,174,3089,3,92,2171,24
M,79,1,2187,28126,24,371,3149,12
F,10,1,2802,382215,24,526,4180,12
M,69,0,139,1976,3,26,26,1
F,38,1,634,13025,12,291,7912,24
M,63,1,1072,36575,12,203,5145,24
M,70,1,2685,302057,12,429,4510,12
M,44,1,1191,62305,12,404,4001,12
F,57,1,2728,366026,24,763,25534,24
M,41,0,202,4041,6,72,218,3
M,19,1,518,76830,24,84,1077,12
F,83,1,752,40602,12,120,3429,24
M,64,0,47,3309,6,10,248,24
F,51,1,2124,16150,24,807,8665,12
F,91,1,2698,224821,12,458,5503,12
M,63,1,2685,3602,12,429,5155,12
M,85,1,585,10526,24,87,1403,12
F,29,1,613,83668,12,288,3677,12
F,29,0,185,2875,12,90,260,3
M,58,1,2969,187068,24,1098,22089,24
M,31,0,167,12750,3,85,90,1
F,55,1,1009,90141,12,373,4116,12
M,97,1,1714,162554,12,171,3907,12
M,66,1,1410,159712,12,169,4737,24
M,21,0,196,4052,3,90,2304,24
F,80,1,2591,119896,24,388,4041,12
F,41,0,71,4949,24,29,315,12
F,81,1,1499,169670,24,269,2518,12
F,65,1,1263,83832,12,176,5153,24
F,45,0,120,11469,12,40,136,3
M,96,1,210,24136,12,33,604,24
F,19,0,187,3386,6,23,333,12
M,74,1,2962,290672,24,503,4620,12
F,18,0,41,949,1,6,21,3
M,24,0,82,1608,24,42,45,1
F,100,1,1285,182353,24,192,2312,12
M,69,1,1530,33010,12,214,5140,24
F,68,1,2572,246507,24,334,12345,24
M,15,0,96,1112,12,17,40,3
F,48,1,1275,181267,12,420,9485,24
F,62,1,1937,56659,24,251,4183,12
F,47,1,2939,218225,24,940,23982,24
M,19,1,566,14645,12,88,2506,24
M,78,1,487,20287,12,63,876,12
F,31,0,151,4771,24,80,231,3
M,90,1,2153,309833,12,279,3617,12
F,100,1,288,40502,24,37,898,24
M,22,0,186,1706,12,96,94,1
F,91,1,1092,50741,12,196,3144,24
M,30,0,131,7123,6,66,785,12
F,62,1,2698,124455,12,404,5827,12
M,53,1,2966,312032,24,978,21355,24
M,87,1,1196,19270,24,167,5166,24
F,20,1,2842,116344,12,1364,17393,12
M,49,1,1771,178240,24,495,16151,24
F,81,1,1436,109900,12,201,1723,12
M,75,1,1266,166980,12,202,4861,24
F,37,0,57,3247,24,28,167,6
M,52,1,2285,228857,24,845,20290,24
M,69,0,102,5407,12,12,85,6
F,10,0,189,4494,1,22,311,12
F,47,0,430,16997,12,150,3611,24
F,33,1,2737,165158,24,1423,17078,12
F,92,1,331,42319,12,66,1429,24
M,85,1,284,32583,24,39,647,12
F,21,0,151,237,1,78,83,1
M,98,1,1031,72119,24,123,3711,24
F,47,1,1968,95294,24,629,17475,24
M,30,0,140,11269,24,62,67,1
M,77,1,270,25375,12,51,971,24
F,76,1,2365,55957,24,260,3689,12
F,14,0,141,1857,24,27,102,6
M,68,1,2979,229796,12,297,11439,24
F,85,1,1805,123529,24,397,5631,24
M,67,1,2184,97065,12,240,4455,12
M,31,1,731,92479,12,350,4473,12
F,51,0,424,5878,1,144,864,6
M,26,1,708,60701,12,375,4163,12
M,15,1,342,6851,24,38,646,12
M,36,0,32,1808,24,13,97,6
F,58,1,586,73506,24,234,4641,24
F,79,0,78,5645,3,10,46,3
F,22,1,2611,31838,12,1331,17232,12
F,44,0,356,26870,12,128,1708,12
F,33,0,80,6604,1,44,239,6
F,22,0,77,1228,24,38,406,12
F,71,1,1591,235491,24,238,6491,24
M,17,0,43,825,6,5,7,1
M,66,1,1661,29538,24,282,5979,24
F,52,1,2400,191268,24,959,19007,24
F,13,0,112,2165,3,13,51,3
M,83,0,231,9452,6,41,235,6
F,13,0,100,908,6,18,436,24
M,31,0,169,14360,6,96,1784,24
F,85,1,778,110615,12,93,3734,24
M,83,1,1286,148866,12,180,2469,12
F,34,0,175,2192,24,92,90,1
F,67,1,785,111751,12,86,1130,12
F,19,1,2326,40672,12,426,5511,12
M,90,1,1651,201200,24,330,5943,24
F,84,1,963,51668,12,163,2311,12
M,56,1,418,23249,24,142,3611,24
F,11,1,1006,123784,12,127,2298,12
M,55,1,754,24281,24,256,5790,24
M,90,1,555,60927,24,61,865,12
F,56,1,255,16227,24,81,1132,12
M,61,1,1584,127828,12,237,3231,12
F,28,1,640,21737,12,307,8294,24
M,29,0,44,881,12,21,67,3
M,63,1,224,21174,24,29,564,12
F,31,0,199,1130,1,97,573,6
