gender,age,job,monthly_income,assets,deposit_months,deposit_amount,saving_amount,saving_months
M,61,1,1875,909618,30,21930,703,30
M,51,1,2626,811144,12,15720,803,24
F,27,0,91,51798,6,240,33,24
M,53,1,2625,1405965,24,25632,1063,30
F,31,0,479,344808,12,2268,157,1
M,48,1,1812,169755,18,12474,728,24
M,32,0,103,72223,12,480,50,1
M,25,1,1793,1261790,30,18240,744,18
M,31,0,626,225150,18,4086,248,3
M,40,1,620,74928,12,3168,230,18
M,57,1,2721,995722,18,21006,1208,12
F,38,1,1070,978691,18,5958,517,30
M,33,1,2490,2424399,24,19800,994,30
F,62,1,1794,1358550,24,14760,592,24
F,35,1,1044,418003,24,10872,337,12
M,64,1,1985,974403,12,11844,798,30
M,41,0,144,25241,18,1134,43,3
M,43,1,2952,1573300,30,42540,1137,18
F,42,1,351,335304,18,2250,170,30
M,62,1,718,680160,30,7470,317,30
F,58,1,735,339521,24,7776,238,12
M,46,1,2010,446666,24,21816,613,12
M,32,0,105,40501,18,756,50,12
F,62,1,1646,1596498,24,13776,785,12
M,18,0,616,336303,12,3144,199,6
F,42,1,2658,1982401,30,28020,1169,30
M,24,0,221,96372,3,327,69,6
M,26,1,796,623130,30,7920,350,24
M,41,0,230,140012,18,1998,80,24
M,18,0,267,22089,3,306,94,6
M,61,1,450,233479,12,1644,174,30
F,25,0,527,89071,18,4428,261,3
F,41,0,435,392132,12,2460,213,24
F,28,0,525,283474,12,1908,257,3
F,34,0,308,273882,12,1488,120,24
F,25,0,597,529441,6,1344,294,12
M,52,1,1008,159375,12,5148,485,24
M,52,1,1324,459540,30,18390,470,18
M,50,1,1711,1588106,30,17580,554,30
M,22,1,1479,176645,12,7632,706,30
M,59,0,424,365988,18,2988,175,24
F,56,1,1295,1206699,30,15990,470,18
F,58,1,2802,1482566,18,23040,1365,18
F,45,1,2698,703335,12,13008,946,12
F,24,1,1005,763820,18,8064,344,24
F,26,0,423,415741,3,507,209,1
M,25,0,276,174726,12,1332,135,12
M,29,0,71,57698,3,72,25,12
M,51,0,610,185757,24,7200,196,24
M,50,1,263,88078,12,1452,117,12
F,40,0,170,52206,12,912,58,12
F,41,0,182,117197,18,1512,88,1
M,54,0,504,148905,6,1020,225,3
M,52,1,2754,1792369,18,15012,1202,24
M,61,1,2905,486849,30,28650,1338,24
M,57,1,838,13316,18,2250,141,30
M,39,1,257,135859,30,3120,83,12
M,44,1,406,71906,18,2376,148,18
F,52,1,1018,667857,30,14700,486,12
F,18,0,580,535347,12,2352,181,6
F,52,1,1837,1496487,12,6648,568,24
F,54,1,255,98240,12,1488,96,30
M,64,1,1933,839389,18,11484,847,30
M,31,1,529,488744,12,2808,224,12
M,20,0,444,186481,1,193,179,1
M,18,0,308,125959,1,124,123,3
F,22,0,337,198569,24,2424,141,18
M,43,0,610,334069,3,825,280,12
M,31,0,378,294563,1,113,187,12
F,56,1,2025,547321,18,15174,795,30
M,44,1,232,125242,24,2448,75,24
F,26,0,590,444007,1,241,209,1
M,32,1,2841,1776603,30,40800,1218,24
F,32,1,2059,33771,12,3072,343,12
F,43,1,1754,1590007,30,20580,852,24
M,59,1,1731,825611,24,16392,781,18
M,30,0,192,41588,6,534,70,18
F,49,1,1670,1398581,18,10602,650,30
M,56,1,2915,892487,24,27720,1172,24
F,49,1,2798,334309,12,13524,1306,18
M,21,0,697,27955,6,1308,265,6
F,47,1,2353,1252767,24,23232,732,24
M,54,1,1220,24720,30,6780,191,24
F,40,0,634,587621,12,3132,217,1
F,56,1,1395,1252619,18,8496,643,18
M,62,1,2652,2293715,12,14244,1292,12
M,32,1,2770,1905117,24,23544,959,12
F,60,1,2299,1978978,12,10500,1101,12
F,46,1,898,688168,30,13200,281,12
F,53,0,294,141855,12,1572,146,1
M,30,0,218,103758,6,402,107,18
F,49,0,347,149725,18,1962,167,18
F,24,0,208,72259,24,2280,80,18
M,39,0,324,18568,24,3744,160,3
F,45,0,350,258408,18,2340,114,3
M,19,0,461,349767,12,1992,225,24
F,59,1,2197,1123865,12,8556,1009,18
M,62,1,2131,399160,18,15264,995,24
M,23,0,100,36543,3,135,48,1
M,45,1,325,194553,12,1560,162,18
M,45,0,286,259971,12,1080,130,3
M,61,1,578,39781,30,5970,175,12
M,61,1,1708,1544864,12,8904,707,18
F,37,1,229,1667,18,522,41,12
M,47,1,2453,1023956,18,19062,1130,18
F,28,0,323,128218,3,432,136,1
M,45,1,1945,1291806,12,8448,778,24
M,42,1,333,189455,30,3960,129,24
F,56,1,1083,268092,12,5148,362,12
M,50,1,1933,1819721,30,24840,583,24
F,18,0,368,147635,3,498,166,24
F,44,0,145,64188,1,59,48,6
F,30,0,545,53012,1,201,240,6
M,58,1,2346,3957,18,5670,413,24
F,20,0,31,20448,1,12,14,6
F,56,1,2030,214206,24,18000,689,24
F,23,0,482,152947,3,681,211,18
M,25,0,323,103496,12,1416,149,3
M,44,0,113,35648,3,159,43,3
M,26,1,987,640511,24,10560,319,18
M,54,1,2501,739896,30,30330,1121,12
M,50,0,217,26536,1,77,78,18
F,59,1,387,189081,24,4536,127,12
F,61,1,2774,61185,30,13260,463,18
F,41,0,61,26258,6,162,18,6
F,32,0,274,129492,3,321,91,18
M,49,1,935,140057,24,11088,408,12
M,49,1,219,22626,30,3240,98,30
M,41,1,560,489407,24,6192,187,18
M,58,1,922,629195,12,4512,299,24
F,29,1,1914,1511972,24,21096,633,30
F,56,1,1976,927985,24,22512,781,12
F,19,0,677,369812,24,5448,258,6
M,20,0,615,110745,1,253,247,24
F,54,1,590,60195,12,3336,246,30
F,34,0,440,137381,12,2412,157,1
M,19,0,431,395374,3,489,136,1
M,19,0,77,684,12,108,8,1
F,45,1,1636,108567,24,14400,568,12
M,40,1,1055,1020158,24,9528,420,12
F,54,0,499,335712,6,1260,198,1
F,49,0,562,378540,18,3870,227,18
F,50,1,1924,306788,30,25170,947,18
F,18,0,504,492611,1,242,232,3
F,36,0,698,620461,6,1734,234,12
M,19,0,383,57512,24,3552,126,12
M,61,1,598,87137,30,7080,272,24
M,43,1,2954,1661839,30,42780,1452,18
F,49,1,2317,997847,18,15354,903,30
F,23,0,187,152752,3,231,56,18
M,49,1,1561,753899,30,16110,547,12
M,21,0,551,376685,24,5232,200,24
M,28,0,406,84279,1,165,138,6
F,34,0,284,199513,18,1944,130,18
M,55,0,45,27633,1,20,18,12
M,41,1,807,433136,12,4440,322,12
F,22,0,686,327186,1,263,307,24
M,51,1,1351,150332,30,16320,639,18
M,23,0,27,3403,12,120,8,24
F,39,1,2323,1467786,12,10968,889,18
F,28,0,540,371361,24,3912,175,3
M,33,0,103,61450,1,46,31,6
F,50,1,1265,1131904,30,18000,390,30
M,26,0,376,255746,12,1872,137,18
M,23,0,626,496506,3,696,228,3
M,33,0,590,528799,1,188,187,3
M,46,1,2559,791927,18,15174,1191,18
F,20,0,513,288969,24,3864,245,12
F,37,1,1604,1426399,30,18330,637,18
F,53,1,1375,1190071,24,12264,424,30
M,36,1,2023,661357,24,18432,686,18
M,43,1,258,32551,12,1068,127,12
M,20,0,472,401541,12,2208,147,18
F,36,0,608,562494,1,207,263,18
M,37,0,140,16166,1,45,60,6
M,49,1,2395,1802793,12,12828,851,12
M,24,0,652,199383,3,615,227,6
F,58,1,2837,2305587,12,11676,973,30
M,50,1,543,408162,18,3492,181,18
M,57,1,1240,827833,18,8172,493,12
F,56,1,2147,1612173,12,8100,657,30
F,35,0,60,42309,3,69,26,6
M,57,1,1897,1445318,18,16524,773,24
M,18,0,547,495056,6,1230,195,3
F,28,0,125,96243,1,60,51,12
F,45,0,310,70273,24,2256,108,1
F,42,1,1801,1325875,18,10134,560,18
M,40,0,179,105497,6,504,83,18
F,48,1,1540,519969,24,12984,756,24
M,47,1,1625,1396581,30,16650,752,24
F,59,1,2125,1470354,18,14634,979,18
M,52,0,603,140855,6,1548,250,18
M,24,0,85,20027,3,99,35,18
F,33,1,1039,94946,24,9000,448,18
F,43,1,2369,270685,12,10872,854,24
M,19,0,104,19803,1,39,45,12
F,18,0,498,122912,1,245,239,3
M,29,0,406,107770,3,408,192,24
M,22,0,553,381828,18,3348,186,18
F,54,0,253,241262,6,552,87,6
M,49,0,221,162102,24,2448,102,24
F,26,0,382,146279,24,3576,146,6
M,58,1,367,68594,24,2808,181,12
M,52,0,572,144866,3,660,251,12
F,36,0,537,247766,1,171,248,12
M,33,0,387,266594,12,1560,165,3
M,20,0,295,129158,6,774,133,6
M,37,0,512,413664,3,603,220,1
F,41,1,2614,2362867,12,13836,886,30
F,50,1,950,291052,24,6912,433,12
M,41,0,550,380476,1,269,205,18
M,28,0,583,461847,3,684,276,6
M,25,0,650,36114,3,714,321,3
F,53,1,1755,535350,30,25950,787,12
M,55,1,2661,1270802,18,18900,1277,12
M,57,1,2674,146173,30,27510,825,12
F,37,0,697,371583,24,6792,216,24
F,52,0,250,234095,6,636,84,6
M,42,0,240,26450,24,2424,102,6
F,52,0,216,196460,1,87,71,12
M,42,0,471,57546,18,2790,157,1
F,46,0,185,46913,12,1020,72,6
F,35,0,147,110309,18,1044,55,18
F,63,1,902,60322,24,7944,358,24
F,35,0,143,129070,3,186,42,3
M,19,0,204,49606,3,273,101,24
M,52,1,1866,1565953,12,10500,569,24
F,33,1,307,266193,18,2664,146,12
M,58,1,1436,6455,12,2616,147,30
M,53,1,1407,1313659,24,14088,681,18
M,50,1,1413,1122801,12,6540,546,18
F,21,0,76,61776,3,96,29,12
F,50,1,2932,1923853,18,19782,1101,30
M,31,0,335,120799,3,426,112,6
M,38,0,410,210426,1,133,123,18
M,37,1,2706,752832,12,13728,883,30
M,25,0,262,85405,24,3000,98,3
F,24,0,174,146507,1,59,53,24
M,20,0,581,531591,1,201,254,1
M,34,0,663,354947,12,3672,318,12
M,50,0,168,133927,18,1080,60,12
M,29,0,616,105714,18,4284,249,6
M,39,1,2346,490053,12,13872,766,18
F,39,1,2257,1292515,30,26010,773,18
F,63,1,1322,433224,18,7830,509,18
F,47,1,1683,676824,24,13752,581,12
F,55,1,2212,2146475,30,30300,838,12
F,55,0,449,313125,1,145,214,24
M,62,1,1041,885066,18,6750,379,30
F,25,0,644,98465,3,729,201,12
F,44,0,568,291807,12,2136,220,6
F,44,1,2291,1904670,24,17184,1102,18
M,51,1,2413,2260794,12,9588,794,12
M,38,1,1558,785816,12,6336,769,30
M,47,1,2609,385332,30,25770,1240,24
M,50,1,1831,1201929,18,12600,750,30
F,45,0,523,390376,1,177,256,24
F,64,1,1492,350509,12,8928,727,18
F,50,0,437,90754,12,1836,211,12
M,22,1,486,441066,18,3276,165,18
F,36,0,219,127708,1,104,90,1
F,21,0,598,264627,3,636,257,18
M,52,1,2244,160613,30,27300,850,24
M,34,0,638,632370,18,4194,308,12
F,61,1,969,457323,18,7452,353,12
F,45,1,1885,502201,24,16608,746,30
F,47,1,1911,1266693,18,11664,643,30
F,46,1,1546,1042066,12,6828,642,30
F,63,1,801,295306,30,11340,272,18
F,23,0,387,114018,3,417,184,3
M,52,1,587,512298,18,4914,202,30
M,58,1,435,238080,30,5670,193,12
F,54,1,2006,1573094,12,9156,650,30
M,41,1,2870,1312923,18,23436,1210,30
F,46,0,313,156175,24,2280,147,3
F,63,1,1005,64394,18,8154,399,18
M,48,1,2894,2009280,18,24840,1430,18
M,52,0,124,24198,1,55,51,24
F,50,0,274,209812,12,1608,99,6
M,38,0,452,410427,1,191,146,3
F,49,1,1327,167560,30,17640,474,24
M,40,0,165,4029,18,378,31,12
F,50,1,1864,1378424,24,14640,808,30
M,20,0,443,334305,6,858,137,12
F,35,0,234,135065,6,636,113,12
M,42,1,1678,440507,24,17784,697,18
M,59,1,1093,823573,24,10560,390,12
M,48,1,1844,121820,12,7356,779,12
F,20,0,607,190294,24,6816,300,3
M,57,1,473,435507,24,3936,210,30
M,63,1,1368,336922,12,5436,570,18
F,41,0,151,20790,12,696,52,3
F,49,1,1723,607827,30,19860,567,30
M,64,1,1530,1274778,18,13374,700,24
M,39,0,26,14930,24,264,9,18
M,40,1,2535,323438,12,12708,1002,18
M,19,0,455,121657,18,2772,173,6
F,44,0,531,420448,18,3726,177,6
M,59,1,2624,1411992,18,19836,1025,24
F,19,0,627,552721,18,4608,236,1
F,43,1,2095,2079099,30,27210,1000,24
M,34,0,462,3715,18,1116,71,3
F,57,0,149,27054,6,324,62,3
M,50,0,153,135160,12,612,48,12
F,26,0,585,567679,6,1206,260,6
F,60,1,1054,363044,18,8658,473,24
F,56,1,1560,1403357,30,23130,592,30
M,46,1,2934,2246720,30,41250,1149,12
F,59,1,2472,194278,12,14640,1013,18
F,43,0,368,112819,12,2088,136,24
F,52,0,595,562635,12,3180,292,12
F,42,1,1879,1222985,24,21624,816,30
F,41,0,396,126487,18,3186,119,18
F,30,0,297,231193,6,618,98,18
M,24,0,37,34271,24,432,16,6
F,53,1,780,648837,18,6768,334,18
F,62,1,1176,1164671,12,5016,578,30
M,37,0,210,69823,18,1260,70,3
F,18,0,396,306346,18,2718,186,18
F,25,0,298,175553,1,106,135,24
M,63,1,1034,946329,24,8328,368,24
M,33,1,1355,315281,24,14208,460,18
F,31,0,492,250473,18,3708,179,6
F,29,1,1616,250734,24,12936,704,24
F,40,1,2305,1002433,18,16182,811,30
F,32,0,605,120292,18,3780,289,12
M,45,0,57,50269,1,21,17,24
F,51,1,1429,936162,18,10206,537,12
M,19,0,412,78610,24,3024,143,6
F,49,0,676,420002,3,987,218,1
M,40,0,349,331597,12,1308,146,1
F,39,0,666,171717,3,756,278,6
M,42,1,1903,45305,30,8370,212,18
M,39,1,715,681033,24,6312,313,30
M,39,1,2209,144661,18,14472,1006,12
M,59,1,454,250736,12,2028,161,24
M,23,0,409,336552,18,2772,151,6
F,32,1,2002,588504,30,22170,772,24
F,60,1,1285,21427,12,2088,163,24
F,54,1,671,355958,12,2520,273,30
M,50,1,500,471912,30,5130,228,24
M,25,0,167,84327,18,1350,56,6
F,61,1,1675,189737,30,19560,559,30
M,61,1,693,184717,24,7272,276,12
M,22,0,381,252959,1,158,128,24
M,56,0,490,9225,12,1008,80,6
M,21,0,44,10389,3,39,13,3
F,23,0,205,142910,24,2160,72,6
F,62,1,1141,10409,12,1560,228,12
F,49,1,368,312680,18,2070,165,30
M,47,0,106,2380,1,20,14,18
F,64,1,473,52137,18,3114,199,18
M,52,1,683,455250,18,4104,249,12
F,57,1,971,732420,12,3516,341,12
F,33,1,556,429333,12,2256,252,12
M,30,1,293,274666,24,2592,107,18
F,59,1,720,10804,30,3030,85,18
M,47,1,1701,1421254,30,18600,801,24
F,36,1,1387,767362,24,14064,533,30
F,34,1,2689,844003,12,15516,1295,24
F,36,0,536,521085,24,4512,240,1
F,45,0,168,111148,1,63,78,24
F,43,1,1280,230468,30,16230,550,18
F,54,1,1757,792458,30,22200,666,24
M,43,0,192,41456,18,1404,63,1
F,40,1,2896,1058439,18,21510,1387,18
F,26,1,302,251441,18,2358,100,24
M,29,1,561,186269,30,5190,268,24
M,18,0,264,247973,12,1572,125,3
F,18,0,188,87460,3,246,87,12
F,64,1,698,136002,18,4014,222,30
M,51,1,373,331743,18,2592,134,18
F,49,1,2550,1597178,30,30180,852,30
F,42,0,402,393502,1,173,135,6
F,57,0,463,249224,6,1008,227,24
M,62,1,1304,189861,24,14712,586,30
F,18,0,348,102240,18,2970,158,24
M,33,0,306,154401,1,99,148,3
F,56,0,259,67130,18,1530,85,12
M,22,0,229,203513,6,654,75,24
M,39,0,313,83219,3,438,130,3
F,46,0,250,119007,1,118,106,12
M,20,0,252,64578,12,1428,125,3
M,29,0,323,239165,24,2664,150,18
F,43,1,1003,147644,30,13020,433,18
M,33,0,223,117257,24,1968,109,3
M,54,0,698,367333,3,927,289,1
M,39,0,40,19477,3,48,19,1
M,46,1,360,55328,18,3024,136,12
F,31,0,694,446488,24,5640,226,6
F,45,1,644,584498,18,5580,234,24
F,22,0,259,256067,6,534,112,6
M,64,1,1307,1281627,18,8352,473,12
F,47,1,581,558781,24,4872,269,30
M,63,1,2858,1767580,12,15108,1173,24
F,22,0,351,325207,6,960,105,6
M,29,0,435,306485,24,4440,145,1
F,33,1,2983,773819,12,17088,962,24
M,43,1,2690,700592,30,32760,1303,12
M,43,0,114,31428,3,141,44,3
M,38,0,282,273216,1,136,135,3
M,56,1,1212,624679,12,6552,529,30
F,53,1,237,175279,24,2280,117,18
M,50,0,305,35166,12,1200,106,24
M,47,1,2265,1790408,18,16272,1088,12
M,54,1,2394,342198,24,26136,1189,12
F,40,0,340,147077,6,954,161,1
F,27,0,123,105772,1,54,39,1
F,22,0,499,118495,24,3840,208,12
M,53,1,246,223108,30,2310,104,24
M,51,1,2589,1193656,12,10068,998,12
F,48,1,2229,817268,24,19080,717,30
M,27,0,114,18125,18,612,40,1
F,36,1,1262,687261,30,18480,432,12
M,49,1,2885,1976179,12,15600,1134,30
M,18,0,324,222386,12,1344,159,18
F,22,0,54,30088,18,450,23,18
M,62,1,2967,202047,30,39450,1423,18
M,21,1,2487,278852,24,26088,933,12
M,33,1,2762,818445,30,34320,1020,12
F,41,0,215,174840,12,1164,98,12
M,33,1,2504,1855179,24,19296,1236,24
M,19,0,564,360170,18,3996,198,24
M,45,1,824,720705,18,4608,300,12
M,49,1,2412,1453989,18,15552,998,30
F,44,1,374,27003,30,3690,133,18
F,37,1,779,139819,12,3072,384,30
F,41,1,407,5247,12,588,58,18
M,29,0,533,330566,18,2898,244,12
F,52,1,954,792292,18,6390,320,18
F,50,0,319,228460,1,131,107,3
M,50,0,231,211466,1,101,87,6
M,60,1,1628,1487237,24,13992,759,18
M,54,1,401,329475,30,4350,126,30
F,29,0,636,319212,12,3624,222,12
M,20,0,65,11386,24,624,24,24
F,18,0,150,147147,1,49,69,1
M,50,1,596,51312,18,3834,236,18
F,57,1,1966,1945119,12,11244,906,30
M,27,0,168,69344,3,204,51,6
M,60,1,427,225371,30,5760,146,12
F,61,1,1083,324262,24,9624,349,18
M,46,0,352,19080,12,1920,154,12
F,30,0,548,22639,1,199,174,18
M,29,0,172,86532,12,792,54,1
F,48,0,123,84339,6,240,42,1
F,63,1,1589,1022381,18,9972,771,24
M,19,0,472,64417,24,3600,156,18
M,52,1,2987,967641,18,17784,1292,30
M,40,1,1610,1499633,18,9468,550,30
F,34,0,321,65962,24,2448,157,1
F,43,0,206,34929,1,76,76,1
F,25,0,166,25728,24,1296,71,3
F,46,1,785,471474,30,8370,371,24
F,43,1,1785,108963,18,13392,646,18
F,27,0,499,21970,12,2076,211,6
F,43,1,487,117872,30,6510,166,24
M,51,1,2534,17461,24,7056,351,30
F,58,0,405,258268,1,179,128,24
M,24,0,300,272295,3,276,94,1
F,21,0,202,25784,18,1098,89,12
F,62,1,969,298807,12,3912,477,24
F,28,0,183,166761,24,2088,70,6
M,46,1,1849,1430307,30,22230,689,30
F,53,1,1490,707409,18,11916,670,24
F,42,1,2616,1491905,18,23130,1299,24
F,38,0,290,279227,1,109,89,1
M,53,1,2985,1998228,18,19494,1103,12
M,27,0,504,15261,6,1134,233,3
F,54,1,2006,1354835,12,11028,826,24
F,26,0,63,44617,3,69,26,6
F,41,1,2256,1697130,18,12942,985,12
M,52,1,2975,285997,24,31200,1368,30
F,52,1,1964,1946538,12,9360,971,12
F,53,1,409,112360,12,2148,181,18
F,35,1,696,542729,18,5202,343,12
M,56,1,1640,626987,12,9816,760,30
F,49,1,1700,838557,12,6456,674,30
F,41,1,1655,1552558,12,7668,824,18
M,40,1,624,408403,24,6504,193,18
F,49,0,392,27698,1,193,127,24
F,54,0,576,414999,1,245,172,3
F,29,0,695,602399,6,1668,226,3
M,30,0,534,246667,1,182,265,6
M,40,1,2752,2289794,12,11628,1133,12
F,42,0,341,317282,1,161,120,1
M,52,1,950,687871,30,10710,390,24
F,58,1,215,50673,18,1908,69,18
F,47,1,352,10244,24,1512,38,30
M,34,1,2678,1094250,18,17856,1213,24
M,37,0,40,36413,6,90,18,24
M,42,0,589,244086,6,1740,189,18
F,39,0,693,72675,18,6120,313,24
F,30,1,2402,2138452,12,14124,1148,30
F,36,1,382,8807,12,780,75,18
F,53,1,275,156197,18,1944,124,18
M,29,1,2200,2194362,12,9288,952,24
F,58,1,2272,839741,18,13428,1115,30
M,36,0,435,329382,18,3834,215,6
F,29,0,188,47912,1,66,71,24
F,26,0,492,451650,12,2892,238,6
M,24,1,2054,1339049,12,11712,753,18
M,45,1,214,75133,24,1824,75,30
F,31,0,430,42372,12,2028,148,24
M,48,1,292,156882,12,1692,123,12
F,36,0,434,89457,3,522,206,18
F,64,1,2642,895312,18,19944,1016,24
F,33,1,2320,1455805,12,13056,710,24
F,22,0,577,201438,1,284,179,24
M,52,1,2695,2631535,12,12348,1144,12
M,29,0,394,307416,24,4128,192,3
M,42,1,1541,851883,30,17010,499,30
M,38,0,159,110040,6,420,61,24
F,53,1,383,119920,24,4272,167,12
F,40,0,585,469109,6,1314,290,18
M,33,0,80,25496,12,432,31,1
M,56,1,2988,2290020,24,30912,1411,12
M,62,1,2235,1636367,24,19152,856,18
F,59,1,1232,789469,30,15510,414,30
M,56,1,482,61114,12,1956,216,30
F,31,0,535,313648,3,798,193,1
M,48,0,81,46288,6,204,24,18
M,22,1,1087,282265,24,9456,347,18
F,52,0,436,358240,12,2244,178,12
F,40,1,642,269177,12,3768,215,18
M,46,1,1293,331814,30,17370,574,18
M,60,1,1495,290400,18,9324,678,30
F,28,1,2272,1465409,18,12654,788,30
F,35,0,613,42400,18,3978,261,6
F,64,1,2613,1990798,18,22896,1198,18
F,29,0,399,264705,6,906,185,1
F,26,0,164,114536,6,306,54,1
M,27,0,633,624930,12,3408,277,24
F,61,1,1539,1134038,18,11538,563,30
M,34,1,1155,551566,24,11904,479,12
F,55,1,2442,2434845,12,9576,758,24
F,24,0,532,421937,3,780,218,12
M,63,1,2901,1403773,18,17892,1066,18
M,30,0,83,73781,3,96,34,18
F,57,1,1203,416265,12,4956,439,12
F,59,1,530,525716,18,4374,224,30
F,26,0,694,334565,1,304,262,24
M,44,1,265,127786,18,1512,113,30
M,19,0,303,230752,12,1800,135,18
F,22,0,173,102718,1,66,63,1
M,46,1,1789,1052951,18,10602,707,24
F,54,1,1318,1066760,18,9450,550,24
M,55,1,896,854722,18,5958,388,24
F,36,1,2953,844592,30,38250,1268,18
F,25,0,333,272639,6,846,116,1
F,62,1,1153,159208,12,5616,465,18
M,18,0,617,189365,3,675,250,6
F,39,1,2596,189908,30,25350,1146,18
F,34,0,621,493994,12,3708,267,6
M,24,0,461,115577,24,4536,140,18
M,42,0,633,62178,6,1230,290,12
F,62,1,1579,1135802,12,9168,479,18
F,21,0,220,41526,3,261,92,1
F,53,0,343,327636,6,702,171,6
F,23,0,270,192782,6,582,126,6
M,48,0,350,23175,12,1764,161,1
F,36,0,520,28171,24,4296,196,3
M,61,1,2818,2794063,24,27768,955,24
F,56,1,2316,2229315,12,12312,1000,30
F,44,0,394,299755,1,144,143,1
F,27,1,1669,638364,24,14472,712,30
M,43,1,1473,238433,18,8838,648,18
M,36,0,115,46061,6,276,48,24
M,56,0,422,303857,12,1656,149,6
F,20,0,113,81189,12,528,36,3
M,62,1,286,236180,12,1260,103,24
F,30,0,128,120047,3,123,46,1
F,45,1,732,478638,18,4716,276,18
F,37,0,331,13608,18,2448,164,1
F,45,0,618,176438,3,666,277,24
F,25,0,175,140227,18,1296,70,6
F,58,1,1565,1169957,18,9270,772,12
F,56,0,555,371140,24,4992,218,6
F,18,0,187,157634,24,2160,90,1
M,20,1,2779,1409614,18,20970,1315,12
F,30,0,497,71594,6,1212,206,6
M,45,0,635,117210,18,4572,208,1
F,42,1,2732,2350313,30,24600,1327,30
F,50,0,247,127064,6,714,117,1
F,55,0,278,149124,24,2088,87,12
F,23,0,402,336892,24,3744,183,1
M,61,1,1939,1228108,30,22560,734,12
M,62,1,2685,433286,18,21654,1160,30
M,49,1,903,629595,18,5832,405,18
M,62,1,1890,1242487,30,23940,816,30
M,64,1,2615,1525857,12,12168,1115,18
M,38,0,471,310241,3,552,233,3
F,33,0,528,311876,18,3672,217,18
F,38,1,775,441930,30,11460,348,24
M,28,0,489,382156,18,3132,227,1
M,54,1,1240,225646,30,16380,418,12
M,53,1,508,46984,18,4050,183,24
F,52,1,975,959474,12,4644,329,24
F,36,0,668,205855,1,297,243,6
F,37,1,1923,138084,30,19110,910,18
F,35,0,457,39018,1,165,208,1
F,64,1,2759,734971,12,11868,1118,30
M,58,1,2972,1736033,12,13440,1212,24
F,31,0,653,575834,6,1338,207,18
M,32,1,2895,633594,24,33552,1150,30
F,48,1,1062,372987,24,10800,490,12
M,18,0,591,132294,1,208,268,3
F,20,0,54,15324,12,276,23,18
F,33,0,495,197381,24,3768,162,3
F,40,1,964,419410,24,7944,408,12
F,28,0,180,26356,3,165,80,1
F,29,1,1826,356842,18,14166,592,24
M,27,0,295,118926,6,708,105,6
F,49,0,41,6402,1,14,14,3
